Plane{model='5454545454543634 ', cargoVolume=5, numberOfSeats=5, averageRidingSpeed=0.0, averageFlyingSpeed=0.0, averageFlyingDistance=5.0}
Plane{model='6', cargoVolume=6, numberOfSeats=66, averageRidingSpeed=0.0, averageFlyingSpeed=0.0, averageFlyingDistance=6.0}
Plane{model='6', cargoVolume=6, numberOfSeats=6, averageRidingSpeed=0.0, averageFlyingSpeed=0.0, averageFlyingDistance=6.0}
Plane{model='6', cargoVolume=6, numberOfSeats=6, averageRidingSpeed=0.0, averageFlyingSpeed=0.0, averageFlyingDistance=6.0}
Plane{model='6', cargoVolume=6, numberOfSeats=6, averageRidingSpeed=0.0, averageFlyingSpeed=0.0, averageFlyingDistance=6.0}
Plane{model='6', cargoVolume=6, numberOfSeats=6, averageRidingSpeed=0.0, averageFlyingSpeed=0.0, averageFlyingDistance=6.0}
Plane{model='6', cargoVolume=6, numberOfSeats=6, averageRidingSpeed=0.0, averageFlyingSpeed=0.0, averageFlyingDistance=6.0}
Plane{model='6', cargoVolume=6, numberOfSeats=6, averageRidingSpeed=0.0, averageFlyingSpeed=0.0, averageFlyingDistance=6.0}
Plane{model='6', cargoVolume=6, numberOfSeats=6, averageRidingSpeed=0.0, averageFlyingSpeed=0.0, averageFlyingDistance=6.0}
Plane{model='6', cargoVolume=6, numberOfSeats=6, averageRidingSpeed=0.0, averageFlyingSpeed=0.0, averageFlyingDistance=6.0}
Plane{model='6', cargoVolume=6, numberOfSeats=6, averageRidingSpeed=0.0, averageFlyingSpeed=0.0, averageFlyingDistance=6.0}
Plane{model='6', cargoVolume=6, numberOfSeats=6, averageRidingSpeed=0.0, averageFlyingSpeed=0.0, averageFlyingDistance=6.0}
Plane{model='6', cargoVolume=6, numberOfSeats=6, averageRidingSpeed=0.0, averageFlyingSpeed=0.0, averageFlyingDistance=6.0}
Plane{model='6', cargoVolume=6, numberOfSeats=6, averageRidingSpeed=0.0, averageFlyingSpeed=0.0, averageFlyingDistance=6.0}
Plane{model='6', cargoVolume=6, numberOfSeats=6, averageRidingSpeed=0.0, averageFlyingSpeed=0.0, averageFlyingDistance=6.0}
Plane{model='6', cargoVolume=6, numberOfSeats=6, averageRidingSpeed=0.0, averageFlyingSpeed=0.0, averageFlyingDistance=6.0}
Plane{model='6', cargoVolume=6, numberOfSeats=6, averageRidingSpeed=0.0, averageFlyingSpeed=0.0, averageFlyingDistance=6.0}
Plane{model='6', cargoVolume=6, numberOfSeats=6, averageRidingSpeed=0.0, averageFlyingSpeed=0.0, averageFlyingDistance=6.0}
Plane{model='6', cargoVolume=6, numberOfSeats=6, averageRidingSpeed=0.0, averageFlyingSpeed=0.0, averageFlyingDistance=6.0}
Plane{model='6', cargoVolume=6, numberOfSeats=6, averageRidingSpeed=0.0, averageFlyingSpeed=0.0, averageFlyingDistance=6.0}
Plane{model='6', cargoVolume=6, numberOfSeats=6, averageRidingSpeed=0.0, averageFlyingSpeed=0.0, averageFlyingDistance=6.0}
Plane{model='6', cargoVolume=6, numberOfSeats=6, averageRidingSpeed=0.0, averageFlyingSpeed=0.0, averageFlyingDistance=6.0}
Plane{model='6', cargoVolume=6, numberOfSeats=6, averageRidingSpeed=0.0, averageFlyingSpeed=0.0, averageFlyingDistance=6.0}
Plane{model='6', cargoVolume=6, numberOfSeats=6, averageRidingSpeed=0.0, averageFlyingSpeed=0.0, averageFlyingDistance=6.0}
Plane{model='6', cargoVolume=6, numberOfSeats=6, averageRidingSpeed=0.0, averageFlyingSpeed=0.0, averageFlyingDistance=6.0}
Plane{model='6', cargoVolume=6, numberOfSeats=6, averageRidingSpeed=0.0, averageFlyingSpeed=0.0, averageFlyingDistance=6.0}
Plane{model='6', cargoVolume=6, numberOfSeats=6, averageRidingSpeed=0.0, averageFlyingSpeed=0.0, averageFlyingDistance=6.0}
Plane{model='6', cargoVolume=6, numberOfSeats=6, averageRidingSpeed=0.0, averageFlyingSpeed=0.0, averageFlyingDistance=6.0}
Plane{model='6', cargoVolume=6, numberOfSeats=6, averageRidingSpeed=0.0, averageFlyingSpeed=0.0, averageFlyingDistance=6.0}
Plane{model='6', cargoVolume=6, numberOfSeats=6, averageRidingSpeed=0.0, averageFlyingSpeed=0.0, averageFlyingDistance=6.0}
Plane{model='6', cargoVolume=6, numberOfSeats=6, averageRidingSpeed=0.0, averageFlyingSpeed=0.0, averageFlyingDistance=6.0}
Plane{model='6', cargoVolume=6, numberOfSeats=6, averageRidingSpeed=0.0, averageFlyingSpeed=0.0, averageFlyingDistance=6.0}
Plane{model='6', cargoVolume=6, numberOfSeats=6, averageRidingSpeed=0.0, averageFlyingSpeed=0.0, averageFlyingDistance=6.0}
Plane{model='6', cargoVolume=66, numberOfSeats=6, averageRidingSpeed=0.0, averageFlyingSpeed=0.0, averageFlyingDistance=6.0}
Plane{model='', cargoVolume=6, numberOfSeats=6, averageRidingSpeed=0.0, averageFlyingSpeed=0.0, averageFlyingDistance=6.0}
Plane{model='66', cargoVolume=6, numberOfSeats=6, averageRidingSpeed=0.0, averageFlyingSpeed=0.0, averageFlyingDistance=6.0}
Plane{model='6', cargoVolume=6, numberOfSeats=6, averageRidingSpeed=0.0, averageFlyingSpeed=0.0, averageFlyingDistance=6.0}
Plane{model='6', cargoVolume=6, numberOfSeats=6, averageRidingSpeed=0.0, averageFlyingSpeed=0.0, averageFlyingDistance=6.0}
Plane{model='6', cargoVolume=6, numberOfSeats=6, averageRidingSpeed=0.0, averageFlyingSpeed=0.0, averageFlyingDistance=6.0}
Plane{model='6', cargoVolume=6, numberOfSeats=6, averageRidingSpeed=0.0, averageFlyingSpeed=0.0, averageFlyingDistance=6.0}
Plane{model='6', cargoVolume=6, numberOfSeats=6, averageRidingSpeed=0.0, averageFlyingSpeed=0.0, averageFlyingDistance=6.0}
Plane{model='6', cargoVolume=6, numberOfSeats=6, averageRidingSpeed=0.0, averageFlyingSpeed=0.0, averageFlyingDistance=6.0}
Plane{model='6', cargoVolume=6, numberOfSeats=6, averageRidingSpeed=0.0, averageFlyingSpeed=0.0, averageFlyingDistance=6.0}
Plane{model='6', cargoVolume=6, numberOfSeats=4, averageRidingSpeed=0.0, averageFlyingSpeed=0.0, averageFlyingDistance=4.0}
Plane{model='6', cargoVolume=6, numberOfSeats=5, averageRidingSpeed=0.0, averageFlyingSpeed=0.0, averageFlyingDistance=5.0}
Plane{model='6', cargoVolume=6, numberOfSeats=5, averageRidingSpeed=0.0, averageFlyingSpeed=0.0, averageFlyingDistance=5.0}
Plane{model='6', cargoVolume=6, numberOfSeats=8, averageRidingSpeed=0.0, averageFlyingSpeed=0.0, averageFlyingDistance=8.0}
Plane{model='6', cargoVolume=6, numberOfSeats=6, averageRidingSpeed=0.0, averageFlyingSpeed=0.0, averageFlyingDistance=6.0}
Plane{model='6', cargoVolume=6, numberOfSeats=6, averageRidingSpeed=0.0, averageFlyingSpeed=0.0, averageFlyingDistance=6.0}
Plane{model='6', cargoVolume=6, numberOfSeats=6, averageRidingSpeed=0.0, averageFlyingSpeed=0.0, averageFlyingDistance=6.0}
Plane{model='6', cargoVolume=6, numberOfSeats=6, averageRidingSpeed=0.0, averageFlyingSpeed=0.0, averageFlyingDistance=6.0}
Plane{model='6', cargoVolume=6, numberOfSeats=6, averageRidingSpeed=0.0, averageFlyingSpeed=0.0, averageFlyingDistance=6.0}
Plane{model='6', cargoVolume=6, numberOfSeats=6, averageRidingSpeed=0.0, averageFlyingSpeed=0.0, averageFlyingDistance=6.0}
Plane{model='6', cargoVolume=6, numberOfSeats=6, averageRidingSpeed=0.0, averageFlyingSpeed=0.0, averageFlyingDistance=6.0}
Plane{model='6', cargoVolume=6, numberOfSeats=6, averageRidingSpeed=0.0, averageFlyingSpeed=0.0, averageFlyingDistance=6.0}
Plane{model='6', cargoVolume=6, numberOfSeats=6, averageRidingSpeed=0.0, averageFlyingSpeed=0.0, averageFlyingDistance=6.0}
Plane{model='6', cargoVolume=6, numberOfSeats=6, averageRidingSpeed=0.0, averageFlyingSpeed=0.0, averageFlyingDistance=6.0}
Plane{model='6', cargoVolume=6, numberOfSeats=6, averageRidingSpeed=0.0, averageFlyingSpeed=0.0, averageFlyingDistance=6.0}
Plane{model='6', cargoVolume=6, numberOfSeats=6, averageRidingSpeed=0.0, averageFlyingSpeed=0.0, averageFlyingDistance=6.0}
Plane{model='1', cargoVolume=2, numberOfSeats=3, averageRidingSpeed=0.0, averageFlyingSpeed=0.0, averageFlyingDistance=4.0}
Plane{model='34', cargoVolume=34, numberOfSeats=34, averageRidingSpeed=0.0, averageFlyingSpeed=0.0, averageFlyingDistance=34.0}
Plane{model='34', cargoVolume=34, numberOfSeats=34, averageRidingSpeed=0.0, averageFlyingSpeed=0.0, averageFlyingDistance=34.0}
Plane{model='boeing', cargoVolume=4, numberOfSeats=4, averageRidingSpeed=0.0, averageFlyingSpeed=0.0, averageFlyingDistance=4.0}
Plane{model='ghj', cargoVolume=6, numberOfSeats=6, averageRidingSpeed=0.0, averageFlyingSpeed=0.0, averageFlyingDistance=6.0}
Plane{model='4', cargoVolume=4, numberOfSeats=4, averageRidingSpeed=0.0, averageFlyingSpeed=0.0, averageFlyingDistance=4.0}
Plane{model='7', cargoVolume=7, numberOfSeats=7, averageRidingSpeed=0.0, averageFlyingSpeed=0.0, averageFlyingDistance=7.0}
Plane{model='5', cargoVolume=5, numberOfSeats=55, averageRidingSpeed=0.0, averageFlyingSpeed=0.0, averageFlyingDistance=5.0}
